[29 Jun 2022, 14:23:41] | Error: SQLITE_CONSTRAINT: NOT NULL constraint failed: Message.sender_name | ID: zFzzvlbVo88akJCGAAAD
[29 Jun 2022, 14:23:41] | Error: SQLITE_CONSTRAINT: NOT NULL constraint failed: Message.sender_name | ID: zFzzvlbVo88akJCGAAAD
[29 Jun 2022, 14:23:41] | Error: SQLITE_ERROR: incomplete input | ID: zFzzvlbVo88akJCGAAAD
[29 Jun 2022, 14:23:41] | Error: SQLITE_ERROR: incomplete input | ID: zFzzvlbVo88akJCGAAAD
[29 Jun 2022, 14:23:41] | Error: SQLITE_ERROR: incomplete input | ID: zFzzvlbVo88akJCGAAAD
[29 Jun 2022, 14:24:21] | Error: SQLITE_ERROR: no such column: User.undefined | ID: zFzzvlbVo88akJCGAAAD
[29 Jun 2022, 14:25:03] | Error: SQLITE_ERROR: no such column: User.undefined | ID: zFzzvlbVo88akJCGAAAD
[29 Jun 2022, 14:25:05] | Error: SQLITE_ERROR: no such column: User.undefined | ID: zFzzvlbVo88akJCGAAAD
[29 Jun 2022, 14:25:17] | Error: SQLITE_ERROR: no such column: User.undefined | ID: RsSBE37ccvqZgHd8AAAD
[29 Jun 2022, 14:25:17] | Error: SQLITE_ERROR: incomplete input | ID: RsSBE37ccvqZgHd8AAAD
[29 Jun 2022, 14:25:18] | Error: SQLITE_ERROR: no such column: User.undefined | ID: RsSBE37ccvqZgHd8AAAD
[29 Jun 2022, 14:28:12] | Error: SQLITE_ERROR: incomplete input | ID: hsExBA3Ijvtk0nsgAAAD
[29 Jun 2022, 14:38:16] | Error: SQLITE_ERROR: incomplete input | ID: f9iLd8_SMHiTvVpzAAAD
